TICKET   ROUTE    COMPONENT  SERVER-FN  VERDICT
MIS-280  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-281  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-282  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-283  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-284  PRESENT  MISSING    MISSING    OPEN
MIS-285  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-286  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-287  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-288  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-289  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-290  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-291  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-292  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-293  PRESENT  PRESENT    PRESENT    DUPLICATE
MIS-294  PRESENT  PRESENT    MISSING    OPEN
